 ,0.05
Dirty,0.8455771107215533
MINOR-B,0.3474100506215624
MINOR-B-w/o CIC,0.3474100506215624
MINOR-B-w/o IC,0.3474100506215624
MINOR-B-Uni,0.44779126682723946
MINOR-B-w/o SC,0.6589463256351161
MINOR-B-w/o iter.,0.7110948659070103
MINOR-U,0.41695787210958934
MINOR-U-w/o CIC,0.41695787210958934
MINOR-U-w/o IC,0.41695787210958934
MINOR-U-w/o SC,0.8303086207686359
MINOR-U-w/o iter.,0.7110994743300421
VARX,0.7111563108803235
IMR,0.7503671393795486
MTCSC-C,0.7240296959785048
MTCSC-A,0.6343930963538931
Akane,2.9409318392148305
